pkg_name,name,version,line_count,package_count
hello,lijunchen/hello,0.1.0,24,2
hello16,lijunchen/hello16,0.1.0,15,2
hello18,lijunchen/hello18,0.1.35,19,2
hello19,lijunchen/hello19,0.1.2,17,2
hello2,lijunchen/hello2,0.1.0,18,1
hello23,lijunchen/hello23,0.1.2,15,2
hello24,lijunchen/hello24,0.1.0,14,2
mooncake,lijunchen/mooncake,0.1.0,16,2
test_esp32,lijunchen/test_esp32,0.1.9,214,4
test_postadd,lijunchen/test_postadd,0.1.0,20,1
test_postadd2,lijunchen/test_postadd2,0.1.1,25,1
unstable_io,lijunchen/unstable_io,0.1.3,357,7
advent_of_code,peter-jerry-ye/advent_of_code,0.3.1-fix,254,2
assertion,peter-jerry-ye/assertion,0.2.1,283,1
async,peter-jerry-ye/async,0.2.1,938,4
canvas,peter-jerry-ye/canvas,0.7.0,1217,5
codex,peter-jerry-ye/codex,0.79.2,11526,26
io,peter-jerry-ye/io,0.3.4,601,2
json,peter-jerry-ye/json,0.4.0,374,1
mcp-server,peter-jerry-ye/mcp-server,0.3.5,1014,3
memory,peter-jerry-ye/memory,0.8.4,589,1
parse_args,peter-jerry-ye/parse_args,0.1.1,428,1
parser-combinator,peter-jerry-ye/parser-combinator,0.9.1,593,1
spin-imports,peter-jerry-ye/spin-imports,0.1.3,2852,10
utils,peter-jerry-ye/utils,0.4.3,1942,5
wasi,peter-jerry-ye/wasi,0.24.3,6826,15
wasi-imports,peter-jerry-ye/wasi-imports,0.1.5,9056,30
beautiful_mermaid,bobzhang/beautiful_mermaid,0.1.3,29664,3
codex_workflow,bobzhang/codex_workflow,0.1.0,2436,4
colors,bobzhang/colors,0.8.0,1678,2
flowgraph,bobzhang/flowgraph,0.1.0,1105,1
fuzzyscore,bobzhang/fuzzyscore,0.1.0,1223,2
ipaddr,bobzhang/ipaddr,0.1.0,379,2
lexer,bobzhang/lexer,0.1.2,599,1
liquid,bobzhang/liquid,0.1.0,3145,2
lisp_interpreter,bobzhang/lisp_interpreter,0.1.0,887,1
loop_invariants,bobzhang/loop_invariants,0.3.4,108188,188
mbtexcel,bobzhang/mbtexcel,0.1.3,96194,8
mbtpdf,bobzhang/mbtpdf,0.1.2,82073,50
moonjq,bobzhang/moonjq,0.1.0,10898,3
qrc,bobzhang/qrc,0.1.0,882,3
scheme-r6rs,bobzhang/scheme-r6rs,0.1.0,37370,6
sexp,bobzhang/sexp,0.1.1,33,1
tar,bobzhang/tar,0.1.0,538,2
testa,bobzhang/testa,0.1.0,16,2
testb,bobzhang/testb,0.1.0,24,2
toml,bobzhang/toml,0.1.7,10006,3
unmarshal,bobzhang/unmarshal,0.2.4,8861,3
uri,bobzhang/uri,0.1.0,606,1
uuidm,bobzhang/uuidm,0.1.0,2192,1
vg,bobzhang/vg,0.1.3,6383,6
zip,bobzhang/zip,0.1.0,17585,16
zipc,bobzhang/zipc,0.1.1,6456,6
amjson,tonyfettes/amjson,0.1.0,927,2
amtoml,tonyfettes/amtoml,0.1.0,1466,2
any,tonyfettes/any,0.1.5,358,1
assert,tonyfettes/assert,0.1.0,119,1
atomics,tonyfettes/atomics,0.1.0,183,2
base64,tonyfettes/base64,0.1.0,244,1
c,tonyfettes/c,0.7.4,5069,22
dl,tonyfettes/dl,0.1.1,149,1
dotenv,tonyfettes/dotenv,0.4.1,1379,1
encoding,tonyfettes/encoding,0.3.9,2233,1
insomnia,tonyfettes/insomnia,0.3.2,583,1
iter,tonyfettes/iter,0.1.3,10,1
js,tonyfettes/js,0.2.1,517,5
