name,status,line_count_diff,package_count_diff,csv1_line_count,csv1_package_count,csv2_line_count,csv2_package_count
Han-Wentao/moonbench,新增,5493,3,0,0,5493,3
I3eg1nner/petgraph,新增,6583,7,0,0,6583,7
Kai-Junhan/moon-ray,新增,928,2,0,0,928,2
ttxiangshang/moonbit-pixelkit,新增,835,6,0,0,835,6
liuhuo23/clickhouse-driver,有变化,1083,0,1346,2,2429,2
morning-start/mbtgraph,有变化,478,0,36173,25,36651,25
python123/moondepsolve,有变化,-2,0,2506,3,2504,3
Suquster/moonbit-pathfinding,有变化,6341,7,148996,66,155337,73
Xpeng/mooncharts,有变化,1261,0,3757,3,5018,3
0Ayachi0/elk,无变化,0,0,3137,1,3137,1
0Ayachi0/GB18030,无变化,0,0,2543,1,2543,1
0Ayachi0/math,无变化,0,0,821,3,821,3
0Ayachi0/SwissTable,无变化,0,0,1029,1,1029,1
0xA672/moonbit_version_cli,无变化,0,0,388,2,388,2
0xA672/moonver,无变化,0,0,212,2,212,2
0xA672/moonwasm_probe,无变化,0,0,313,2,313,2
0xA672/mwp,无变化,0,0,241,2,241,2
0xA672/strip,无变化,0,0,2191,2,2191,2
1123Javayanglei/moonbit_claude_proxy,无变化,0,0,2889,2,2889,2
202306123/lib_mbt,无变化,0,0,15,1,15,1
2459822546/fwshz,无变化,0,0,11,1,11,1
2515050242/cbor,无变化,0,0,517,2,517,2
2515050243qyf/moon_bencode,无变化,0,0,393,3,393,3
A-23187/encoding,无变化,0,0,756,3,756,3
AdUhTkJm/assembler,无变化,0,0,431,1,431,1
AdUhTkJm/bitviewer,无变化,0,0,794,2,794,2
AdUhTkJm/moonc,无变化,0,0,5829,5,5829,5
AdUhTkJm/nummoon,无变化,0,0,1134,1,1134,1
AdUhTkJm/sat-solver,无变化,0,0,2627,2,2627,2
AdUhTkJm/u8str,无变化,0,0,279,1,279,1
AdUhTkJm/wasmtools,无变化,0,0,502,1,502,1
AlexenderSokolov/moonflowgraph,无变化,0,0,1198,2,1198,2
allain/mongodb,无变化,0,0,9540,3,9540,3
allwefantasy/readline.mbt,无变化,0,0,2457,2,2457,2
amor2025/biginteger,无变化,0,0,4486,2,4486,2
amor2025/convert,无变化,0,0,1342,2,1342,2
amor2025/fraction,无变化,0,0,5876,4,5876,4
amor2025/moonNum,无变化,0,0,133948,18,133948,18
amor2025/pad,无变化,0,0,191,1,191,1
angela/srt,无变化,0,0,1062,3,1062,3
angela/vcf,无变化,0,0,343,2,343,2
Anxiu0101/yuegui,无变化,0,0,3226,8,3226,8
applejag/firefly,无变化,0,0,2372,4,2372,4
applejag/micromath,无变化,0,0,660,1,660,1
Arcelyth/aitne,无变化,0,0,11574,6,11574,6
Arcelyth/html_escape,无变化,0,0,3021,2,3021,2
ash1day/sql,无变化,0,0,6085,4,6085,4
Asterless/MoonCoc,无变化,0,0,1074,3,1074,3
Asterless/MoonPtime,无变化,0,0,908,1,908,1
Asterless/MoonQOI,无变化,0,0,782,1,782,1
aurasuisui/indexmap,无变化,0,0,5200,1,5200,1
AXiX-official/binaryPrimitives,无变化,0,0,317,1,317,1
AXiX-official/xxhash,无变化,0,0,322,1,322,1
baka-gourd/quickxorhash,无变化,0,0,575,2,575,2
baobolong/hello,无变化,0,0,25,2,25,2
Bemly/cstdio-ffi,无变化,0,0,1725,2,1725,2
beso1225/tour,无变化,0,0,91,2,91,2
Betterlol/moon_zod,无变化,0,0,15458,18,15458,18
BigOrangeQWQ/Bits,无变化,0,0,1419,2,1419,2
BigOrangeQWQ/fmt,无变化,0,0,910,1,910,1
BigOrangeQWQ/immunt_multiset,无变化,0,0,680,1,680,1
BigOrangeQWQ/ImmuntableMultiSet,无变化,0,0,652,1,652,1
BigOrangeQWQ/immut_multiset,无变化,0,0,1881,2,1881,2
BigOrangeQWQ/ryu,无变化,0,0,5738,1,5738,1
BigOrangeQWQ/unification_table,无变化,0,0,2250,4,2250,4
BigOrangeQWQ/uri,无变化,0,0,2968,1,2968,1
BigOrangeQWQ/wasi-cli,无变化,0,0,270,12,270,12
BigOrangeQWQ/wasi-clocks,无变化,0,0,93,2,93,2
BigOrangeQWQ/wasi-filesystem,无变化,0,0,1560,2,1560,2
BigOrangeQWQ/wasi-io,无变化,0,0,807,3,807,3
BigOrangeQWQ/wasi-random,无变化,0,0,111,3,111,3
BigOrangeQWQ/wasi-sockets,无变化,0,0,2399,7,2399,7
BigOrangeQWQ/wit-ffi,无变化,0,0,175,1,175,1
BigOrangeQWQ/wit-wasi-clocks,无变化,0,0,117,2,117,2
BigOrangeQWQ/wit-wasi-io,无变化,0,0,838,4,838,4
BigOrangeQWQ/wit-wasi-random,无变化,0,0,111,3,111,3
BigThree33/find_min,无变化,0,0,37,2,37,2
bikallem/blit,无变化,0,0,556,1,556,1
bikallem/chai,无变化,0,0,4002,2,4002,2
bikallem/compress,无变化,0,0,34864,15,34864,15
bikallem/freetype,无变化,0,0,50690,26,50690,26
bikallem/image,无变化,0,0,13076,9,13076,9
bikallem/mariadb,无变化,0,0,942,4,942,4
bikallem/reactive,无变化,0,0,555,1,555,1
bikallem/rsignal,无变化,0,0,2549,3,2549,3
bikallem/webapi,无变化,0,0,184770,3,184770,3
black-duck666/moontxnkit,无变化,0,0,1812,3,1812,3
bnyu2/channel,无变化,0,0,967,2,967,2
bob/aegis,无变化,0,0,1126,2,1126,2
bob/hashbrown,无变化,0,0,1549,3,1549,3
bob/lexer,无变化,0,0,244,1,244,1
bob/toml,无变化,0,0,7656,3,7656,3
bobzhang/bap,无变化,0,0,158641,23,158641,23
bobzhang/beautiful_mermaid,无变化,0,0,33558,41,33558,41
bobzhang/blog-app,无变化,0,0,2342,4,2342,4
bobzhang/codex_workflow,无变化,0,0,3305,3,3305,3
bobzhang/colors,无变化,0,0,2049,2,2049,2
bobzhang/compose-demo,无变化,0,0,1540,8,1540,8
bobzhang/contacts,无变化,0,0,1655,4,1655,4
bobzhang/crescent,无变化,0,0,23411,23,23411,23
bobzhang/crescent-benchmarks,无变化,0,0,122,4,122,4
bobzhang/crescent-examples,无变化,0,0,377,7,377,7
bobzhang/docx2html,无变化,0,0,22906,10,22906,10
bobzhang/finapp,无变化,0,0,2463,4,2463,4
